Feature_1,Feature_2,Target
0.32055442578485493,0.0015895624599443874,1
-0.017776815593562673,-0.22430768094027403,1
-0.8051550384575672,-0.6622273546018829,0
0.1592912839836106,0.18915799301088168,1
-0.1934286559701105,0.24144425132802472,1
0.26533506493999504,-0.07149817938408433,1
0.9139992795909315,0.4173159191972023,0
-0.9929616512268885,0.22665265124460526,0
-0.8558455030340824,-0.712420663979858,0
-0.2773263092454703,0.10761112184371377,1
0.9463088871910827,-0.021649760771487895,0
0.23129579864458644,0.23922725349021445,1
-0.16793780878378622,-0.15687152122735099,1
-0.9735933820791374,0.05656119323839359,0
0.15263427882153122,0.23144476849278597,1
0.7240348667608151,0.6390468923316937,0
0.09810949355807805,-0.22422027292230015,1
-0.5645923108936735,0.7365534566036536,0
1.016287527285706,0.2468694427125229,0
0.5066979172768458,0.8380393726027622,0
0.844867225735254,0.4305320019100656,0
0.9951148424166417,-0.21536667583051566,0
-0.8133802680565019,-0.7692871382174676,0
-0.7138296398089616,-0.6809205704560752,0
0.026414460128549908,-0.32178568815028163,1
-0.17243229564978868,-0.08866240422467658,1
0.9156549848688935,0.4781844579190867,0
0.34573032899660844,0.9810629068254303,0
-0.3079082444520075,0.005355758691922292,1
0.9462169351122339,0.04960504405058624,0
-0.10601426359754959,-0.22732603439841848,1
-0.22004564151304848,0.19223975685626282,1
-0.028520705208169066,0.29323240615151214,1
-0.25424819668834475,-0.2162811927373936,1
0.423423693822667,-0.917927295601124,0
-0.31944330920425174,0.041118262391995807,1
0.2220986302680176,-0.1151229410005439,1
-0.11752280487910555,-1.0168455817170017,0
0.14522081002342882,-0.20664929396243478,1
-0.9621208191980642,-0.2195203165882564,0
-0.9410769842292078,0.31616642491884833,0
0.2442678007109933,0.019849802953067167,1
-0.02718488839394865,0.32068058116178566,1
-0.20046241953998567,0.26296183757459646,1
-1.1124182374855565,0.08173317012516718,0
-0.19070451600914445,-0.06633609038123568,1
-0.11992763274025241,-0.2847206823248117,1
-0.24204037913162874,0.9754565368719147,0
